,Title,Ingredients,Steps,Loves,URL,clean_teks
9,Ikan Patin pedas manis,500 gr ikan patin--5 siung bawang merah iris tipis--4 siung bawang putih iris tipis--1/2 bawang bombay ukuran kecil iris tipis--Cabai merah keriting (sesuai selera) iris tipis--Cabai rawit setan (sesuai selera) biarkan utuh--1 ruas lengkuas digeprek--2 lembar daun jeruk--2 sendok makan kecap--3 batang bawang daun iris tipis--,"Ikan patin yang sudah dicuci bersih, dilumuri garam kemudian digoreng setengah kering--Tumis irisan bawang merah, putih, bombay dan cabai sampai dengan harum--Masukkan ikan yang sudah digoreng sebelumnya, kemudian tambahkan sedikit air--Masukkan kecap, lengkuas, daun jeruk, garam dan gula. Koreksi rasa--Biarkan sampai dengan meresap ke dalam daging ikan, setelah benar2 meresap terakhir masukkan irisan bawang daun dan cabai rawit setan, kemudian angkat dan sajikan--",0,/id/resep/4472909-ikan-patin-pedas-manis,gr ikan patin siung bawang merah iris tipis siung bawang putih iris tipis bawang bombay ukur iris tipis cabai merah keriting sesuai iris tipis cabai rawit setan sesuai biar utuh ruas lengkuas digeprek lembar daun jeruk sendok makan kecap batang bawang daun iris tipis
10,Gurame tahu tauco,1 ekor gurame--1 buah tahu kotak--1 buah jeruk nipis--1 buah bawang bombay--3 siung bawang putih--1 jari jahe--3 buah cabe hijau besar buang biji--2 buah cabe merah besar--5 sdm tauco--Kecap asin--Kecap manis--Saos tiram--Minyak wijen--1 sdt Angciu--,Balurin gurame dgn jeruk nipis goreng--Goreng tahu kotak 2--Tumis bawang 2 ngan masukkan tauco--Masukkan kecap dll--Tambahkan sedikit air--Siap disajikan test rasa kurang asin tambah garam ya kl tauconya asin gak usah pake garam lg--,4,/id/resep/4472819-gurame-tahu-tauco,ekor gurame buah kotak buah jeruk nipis buah bawang bombay siung bawang putih jari jahe buah cabai hijau buang biji buah cabai merah sdm tauco kecap asin kecap manis saos tiram minyak wijen sdt angciu
11,Ikan Patin,"5 potong Ikan patin--1 buah Jeruk nipis--1 buah Tomat uk. sedang--3 buah Cabai hijau keriting (boleh lebih)--2 buah Cabai rawit/ cengek (boleh lebih)--1 batang serai (geprek)--1/2 ruas Lengkuas (geprek)--Bumbu-bumbu dihaluskan--8 siung Bawang merah--2 siung Bawang putih--5 buah Kemiri--1 sdt Kunyit bubuk--1 buah Cabai merah besar--Nb: Jika hoby pedas, tambahkan cabai sesuai selera masing-masing 😊--","Cuci bersih dan lumuri ikan dengan garam, perasan jeruk nipis selama 15 menit.--Potong dan iris-iris tomat, cabai merah kecil, cabai rawit hijau dan lengkuas (geprek).--Haluskan bumbu - bumbu seperti bawang merah, bawang putih, kemiri, kunyit, cabai merah besar.--Tumis bumbu-bumbu halus serta cabai, serai, lengkuas dan tomat.--Kemudian masukkan ikan patin. Aduk-aduk rata dan masukkan air 250 ml. Aduk2 tercampur smw dan diamkan hingga air menyusut (bumbu-bumbu meresap). Masukkan garam, test rasa.--Angkat dan Sajikan...😄--",4,/id/resep/4467693-ikan-patin,potong ikan patin buah jeruk nipis buah tomat uk buah cabai hijau keriting buah cabai rawit cengek batang serai geprek ruas lengkuas geprek bumbu bumbu halus siung bawang merah siung bawang putih buah kemiri sdt kunyit bubuk buah cabai merah nb hoby pedas tambah cabai sesuai
12,2. Gulai Ikan Kakap Merah khas Padang,"2 ekor Ikan Kakap merah ukuran agak besar, potong 2--1/2 papan Tempe--Bumbu Halus :--10 siung Bawang merah--5 siung Bawang putih--4 cm Jahe--4 cm Kunyit--Bahan tambahan :--2 sdm Cabe giling halus--2 lbr Daun kunyit--8 lbr Daun jeruk--2 btg Sereh--4 lbr Daun salam--4 bh Asam kandis--Daun ruku ruku segenggam (bisa diganti daun kemangi)--15 butir Rawit merah--200 ml Santan kara--500 ml Air--","Tumis bumbu halus, cabe giling halus, daun kunyit, daun jeruk, daun salam, sereh dan asam kandis.--Masukkan santan cair (santan kara sebagian besar cairkan dengan air 500 ml sisanya di masukkan terakhir), daun ruku ruku dan cabe rawit.--Masukkan ikan, tempe, tunggu hingga mendidih kurang lebih 15 menit dengan api kecil.--Masukkan sisa santan kara yang masih kental, aduk2 sampai mendidih kembali.--Matikan api dan siap di sajikan.--",5,/id/resep/4472347-2-gulai-ikan-kakap-merah-khas-padang,ekor ikan kakap merah ukur potong papan tempe bumbu halus siung bawang merah siung bawang putih jahe kunyit bahan tambah sdm cabai giling halus libur daun kunyit libur daun jeruk batang sereh libur daun salam bh asam kandis daun ruku ruku genggam ganti daun kemangi butir rawit merah ml santan kara ml air
0,.Sate Kambing,Bahan-bahan :--500 gr Daging kambing--Daun pepaya--Bumbu yang dihaluskan :--4 siung bamer--4 siung baput--2 cm jahe--1 sdt ketumbar--1/2 sdt lada bubuk--1/2 sdt Garam--1 sdm air asam jawa--Bahan sambel kecap :--Kecap manis sesuai selera (aku pake bango)--Cabe rawit--Bamer--Tomat--Jeruk limau--,"1. Cuci bersih daging kambing, potong"" kotak, bungkus didalam lapisan daun pepaya (30menit)--2.setelah 30 menit, keluarkan daging dr daun pepaya, campurkan dengan bumbu yang sudah dihaluskan, diamkan 15 menit--3. Susun daging pada tusuk sate kurlen 4-5 potong per tusuk--4. Bakar (bisa pakai arang / teflon)--5. Bolak balik sate hingga benar"" matang--6. Sajikan dengan sambal kecap--",6,/id/resep/4470066-sate-kambing,bahan bahan gr daging kambing daun pepaya bumbu halus siung bamer siung baput jahe sdt ketumbar sdt lada bubuk sdt garam sdm air asam jawa bahan sambal kecap kecap manis sesuai pakai bango cabai rawit bamer tomat jeruk limau
1,Rabeg Kambing,1 kg daging kambing bagian paha beserta tulang--Bumbu halus--100 gr cabe--7 siung bawang putih--8 siung bawang mersh--7 butir kemiri--2 cm jahe--1 ruas kunyit--1/2 sdt klabet--1/2 sdt jinten--Bumbu lain--1 batang sereh--3 lembar daun salam--2 cm kayu manis--5 butir cengjeh--3 kapulaga hijau--5 sdm kecap manis--Garam--Gula--Pelengkap--Acar--Bawang goreng--,Tumis bumbu halus hingga harum. Masukan bumbu bumbu lain kecuali kecap.--Masukan daging kambing. Aduk sampai daging terbalut bumbu dan berubah warna--Pindahkan tumisan daging ke panci. Tambahkan air. Beri kecap gulz dan garam. Masak sampai daging empuk dan air tinggal sedikit--Sajikan dengan nasi dan pelebgkap--,6,/id/resep/4469170-rabeg-kambing,daging kambing paha serta tulang bumbu halus gr cabai siung bawang putih siung bawang mersh butir kemiri jahe ruas kunyit sdt klabet sdt jinten bumbu batang sereh lembar daun salam kayu manis butir cengjeh kapulaga hijau sdm kecap manis garam gula lengkap acar bawang goreng
2,Gulai kambing,"500 gram daging kambing--Bumbu :--sesuai selera Santan--2 btng serai,memarkan--5 lembar Daun Salam,jeruk--sesuai selera Cabe--2 btr Cengkeh--Bumbu halus:--5 siung bawng merah--4 siung bwng putih--5 butir kemiri--2 cm kunyit--2 cm jahe--2 cm lengkuas--1 sdt ketumbar--Mrica,pala,garam,gula seckpnya--","Rebus dgng kambing dgn jahe krng lbh 20 menit lalu buang airnya,cc bersih--Tumis bumbu yg sudah dihaluskn,,masukn semua bahan Dan bumbu--Rebus sampe empuk--Terakhir masukn santan,tes rasa,,,--Sajikan dimangkok,yumm ✌️--",0,/id/resep/4467084-gulai-kambing,gram daging kambing bumbu sesuai santan btng serai memar lembar daun salam jeruk sesuai cabai btr cengkeh bumbu halus siung bawng merah siung bwng putih butir kemiri kunyit jahe lengkuas sdt ketumbar mrica pala garam gula seckpnya
3,Sayur tulang kambing,1.5 kg tulang sumsum kambing(direbus dahulu)agar bau amis hilang--Kacang panjang--Pepaya muda--10 buah Cabe rawit--2 buah Cabe merah besar--2 buah Cabe hijau besar--5 bawang putih--5 bawang merah--2 miri--Garam--1 bungkus masako--1/2 sendok makan Gula putih--Minyak goreng--Irisan potongan bawang merah 5 siung--Irisan potongan bawang putih 5 siung--Santan kelapa--,"Haluskan bawang merah 5 siung dan 5 bawang putih beserta cabe rawit dan miri.--Panaskan kompor ksh sedikit minyak goreng, masukkan irisan cabe besar merah, hijau serta bawang putih dan merah sampai setengah matang--Lalu masukkan cabe,miri,bawang merah dan bwang putih yg telah di haluskan,tumis sampai matang--Masukkan sedikit air pada tumisan tadi...lalu masukkan sayuran beserta tulang sumsum kambing yg sudah di rebus tadi--Terakhir masukkan santan, garam, 1bungkus masako, gula putih..tunggu sampai mendidih aduh terus agar santannya tidak pecah.--Matikan kompor...sayur tulang kambing siap di hidangkan--",1,/id/resep/4458778-sayur-tulang-kambing,tulang sumsum kambing rebus bau amis hilang kacang pepaya muda buah cabai rawit buah cabai merah buah cabai hijau bawang putih bawang merah miri garam bungkus masako sendok makan gula putih minyak goreng iris potong bawang merah siung iris potong bawang putih siung santan kelapa
4,Sate Kambing,300 garam daging kambing--1/2 buah jeruk nipis--secukupnya kecap manis--bumbu kacang:--100 gram kacang tanah goreng--3 siung bawang merah--2 siung bawang putih--1 buah cabe merah besar--5 buah cabe rawit merah (sesuai selera)--2 butir kemiri--4 lembar daun jeruk--200 ml air--2 sdm kecap manis--2 sdm gula merah iris--secukupnya garam--bahan tambahan :--acar wortel timun bawang cabe rawit--bawang goreng--,"Potong daging kambing sesuai selera, beri perasan jeruk nipis, diamkan 10 menit, kemudian cuci bersih.. setelah itu tusukan daging pda tusuk sate--Buat bumbu kacang: 1. blender kacang tanah dengan air sampai halus. 2.haluskan bumbu (bawang cabe kemiri) tumis bumbu halus sampai harum. beri garam gula merah dan kecap.. aduk rata.. kemudian beri cairan kacang tanah.. aduk rata, koreksi rasa.. aduk terus agar tidak menggumpal... kekentalan saus kacang sesuai selera.. kemudian angkat.--Taruh dalam piring, saus kacang 3sdm dan kecap manis 3 sdm, aduk rata... baluri sate dengan bumbu ini sampai rata... kemudian bakar sampai matang...--Setelah matang sate disajikan demgan saus kacang, acar, bawang goreng, dan nasi/lontong.. nikmat satenya besar-besar.... 😁--",7,/id/resep/4462884-sate-kambing,garam daging kambing buah jeruk nipis kecap manis bumbu kacang gram kacang tanah goreng siung bawang merah siung bawang putih buah cabai merah buah cabai rawit merah sesuai butir kemiri lembar daun jeruk ml air sdm kecap manis sdm gula merah iris garam bahan tambah acar wortel timun bawang cabai rawit bawang goreng
5,Sop Kaki Kambing,"4 kaki kambing--2-3 buah kentang, potpng dadu besar--3-4 batang daun bawang, iris 2 cm--2-3 L air panas--2-3 sdm minyak utk menumis--Bumbu halus:--4 buah bawang merah--8 buah bawang putih--1 sdm garam--1 sdt lada bubuk--1/2 sdt pala bubuk--Bumbu lainnya:--5 buah cengkeh--4 buah kapulaga india--1 batang kayu manis--2 buah star anise--4 lembar salam koja (bay leaves)--","Bakar kaki kambing utk menghilangkan bulu2 halus dan baunya. Kerok sesekali lalu celupkan ke air panas mendidih. Lakukan hingga kaki benar2 bersih. Lalu potong2 sesuai selera.--Panaskan minyak, tumis bumbu halus hingga harum. Masukan air panas dan bumbu lainnya. Masak hingga mendidih.--Masukan kentang dan kaki kambing. Masak hingga kentang matang dan kaki kambing empuk.--Masukan sisa bahan. Masak 3-4 menit lalu matikan api. Sajikan hangat.--",9,/id/resep/4447258-sop-kaki-kambing,kaki kambing buah kentang potpng dadu batang daun bawang iris l air panas sdm minyak tum bumbu halus buah bawang merah buah bawang putih sdm garam sdt lada bubuk sdt pala bubuk bumbu buah cengkeh buah kapulaga india batang kayu manis buah star anise lembar salam koja selamat tinggal leaves
6,Kari kambing ala bundo,"Daging kambing ½ kg, potong-potong, lumuri dengan sedikit bumbu halus dan biarkan 15 menit--10 siung bawang merah, iris halus--1 buah tomat, potong tipis--6 butir cengkeh--3 buah peka--5 buah kapulaga--9 siung bawang putih, iris halus--500 ml santan dari 1 butir kelapa (1,5 bungkus segitiga santan kemasan)--150 ml susu cair--500 ml air--3 ruas jari kayu manis--2 lembar daun jeruk purut buang tulangnya--10 lembar daun kari--1 sdt  Garam dan gula sedikit hanya untuk menambah rasa--secukupnya Minyak goreng--Bumbu halus:--1/2 sendok teh jinten, sangrai--1 sendok teh adas, sangrai--10 siung bawang merah--15 buah cabai merah--10 buah cabai rawit merah--6 siung bawang putih--1 sendok makan ketumbar, sangrai--2,5 cm/ 1 ruas jari  jahe--5 cm/ 2 ruas jari  kunyit (diameter kecil)--2,5 cm/ 1 ruas jari  lengkuas--","Tumis hingga harum bawang merah iris, bawang putih, kayu manis, cengkeh, peka, kapulaga kemudian masukkan bumbu halus, masukkan daun jeruk dan daun kari,--Masukkan daging kambing dan buah tomat, masak hingga daging kambing berubah warna dan keluar airnya--Tambahkan air, masak hingga setengah matang--Masukkan santan dan susu cair, masak hingga matang atau empuk.--Daging kari kambing siap dihidangkan bersama acar, roti pratha dan es thai tea.--",1,/id/resep/4376163-kari-kambing-ala-bundo,daging kambing potong potong lumur bumbu halus biar menit siung bawang merah iris halus buah tomat potong tipis butir cengkeh buah peka buah kapulaga siung bawang putih iris halus ml santan butir kelapa bungkus segitiga santan kemas ml susu cair ml air ruas jari kayu manis lembar daun jeruk purut buang tulang lembar daun kari sdt garam gula tambah minyak goreng bumbu halus sendok teh jinten sangrai sendok teh adas sangrai siung bawang merah buah cabai merah buah cabai rawit merah siung bawang putih sendok makan ketumbar sangrai ruas jari jahe ruas jari kunyit diameter ruas jari lengkuas
7,Tongseng kambing presto,250 gram iga kambing / daging kambing--200 gram kol--bumbu halus :--4 siung bawang merah--4 siung bawang putih--1 ruas kunyit bakar--3 buah kemiri sangrai--1 sdt ketumbar sangrai--1/2 sdt jinten--2 buah cabe merah besar--1 ruas jahe--bumbu tambahan:--4 lembar daun jeruk--2 batang sereh--1 ruas lengkuas--2 batang daun bawang--2 buah tomat--5 buah cabe rawit merah--2 sdm santan kara--secukupnya gula garam--,"Potong daging kambing sesuai selera, cuci bersih kemudian masukan ke panci presto.--Masukan bumbu halus yg sudah ditumis, tambahkan air, sampai daging kambing terendam semua... tambahkan daun jeruk, sereh, lengkuas, masak sesuai petunjuk panci presto.. (me: 20 menit dari keluar uap pertama)--Sambil menunggu, rajang halus daun bawang, belah 4 tomat, potong kasar kol, cairkan santan dengan 300ml air.--Setelah 20 menit, matikan kompor, tunggu sampai uap habis.--Buka tutup panci, beri santan, kol, daun bawang, dan tomat, cabe rawit sesuai selera, aduk rata.. beri gula garam.. koreksi rasa.. masak sampai mendidih.. angkat dan sajikan..--Beri taburan bawang goreng.. makan dengan nasi hangat... 😋😋--",9,/id/resep/4442026-tongseng-kambing-presto,gram iga kambing daging kambing gram kol bumbu halus siung bawang merah siung bawang putih ruas kunyit bakar buah kemiri sangrai sdt ketumbar sangrai sdt jinten buah cabai merah ruas jahe bumbu tambah lembar daun jeruk batang sereh ruas lengkuas batang daun bawang buah tomat buah cabai rawit merah sdm santan kara gula garam
8,Telor dadar otak kambing,Otak kambing--2 butir telor ayam--Penyedap masako--3 siung Bawang merah--1 siung Bawang putih--Daun bawang secukupnnya--Cabe rawit 3 biji adanya--Garam--1 lembar Daun salam--Jahe kunyit seujung jari kelingking dikit aja--Minyak untuk numis--,Cuci otak. Kambing smpe bersih cuci semua bumbu--Geprek jahe kunyit dan campurkan ke otak kambing jgn lupa daun salam lalu kukus sekitar 15 menit kurg lbh--Bawang merah putih cabe daun bawang di iris ya ke mangkok lain campur semua bahan kecuali salam buang aja krna itu bekas kukusan aduk bersama telor otak kambing--Lalu goreng smpe. Kekuningan ya--Angkat tiriskan siap di santap pake nasi anget sedapp selamat mencoba--,1,/id/resep/4435937-telor-dadar-otak-kambing,otak kambing butir telur ayam sedap masako siung bawang merah siung bawang putih daun bawang secukupnnya cabai rawit biji garam lembar daun salam jahe kunyit ujung jari kelingking minyak numis
9,Sate kambing siram sambal bawang kecap,"Bumbu daging--1 kg daging kambing--1,5 sdt ketumbar--1 bungkus royko--1 sdt gula--1,5 sdt bawang putih bubuk(3 siung bawang putih)--2 sdm minyak goreng--secukupnya Garam--secukupnya Kecap--Untuk kuah--3 siung bawang merah--6 buah cabe rawit--secukupnya Kecap--",Potong2 daging lalu masukkan bumbu daging...diamkan selama 1/2 jam--Tusuk2 sate--Lalu di bakar--Untuk kuah tinggal di potong2 saja bawang merah dan cabe rawit siramkan kecap sesui selera lalu di tekan2 degn sendok--,1,/id/resep/4415488-sate-kambing-siram-sambal-bawang-kecap,bumbu daging daging kambing sdt ketumbar bungkus royko sdt gula sdt bawang putih bubuk siung bawang putih sdm minyak goreng garam kecap kuah siung bawang merah buah cabai rawit kecap
10,Gule kambing pedas #keto,500 gr iga kambing--250 gr daging kambing dengan lemak--Bumbu halus--3 cm Jahe--5 siung bawang putih--10 siung Bawang merah--1 sdm garan--4 cm kunyit (bakar)--3 butir cengkeh (sangrai)--2 buah pekak/kembang secang/star anis (sangrai)--4 butir kapulaga--1/2 sachet stevia (kalo suka)--1 st lada bubuk--kemiri (sangrai/goreng)--10 cabe merah keriting--15 cabe rawit setan (kalo suka)--Bahan tambahan--2-3 lembar daun jeruk--1 lembar daun kunyit (ikat)--2 batang serai--2-3 daun salam--2 sdm air Asam kandis--1 liter santan cair (1/2 sachet kara yg 65ml)--1 liter santan kental (1.5 sachet kara 65ml)--2 liter Air--secukupnya Minyak goreng--,"Rebus daging dan iga kambing dalam 1 liter air kalo mau empuk di presto 30 menit--Setelah empuk buang airnya u menghilangkan bau prengus, rebus lagi kambing dalam 1 liter air--Sambil menunggu daging kambing mendidih, panaskan minyak secukupnya, tumis bumbu halus, tambahkan daun jeruk, daun kunyit, daun salam + sereh masukan ke dalam rebusan daging--Setelah mendidih masukan santan cair, aduk2 sampai mendidih lagi biar santan tidak pecah, setelah mendidih dan bumbu meresap masukan santan kental aduk2 jangan sampai santan pecah sampai mendidih.. icip2 rasa tambah asam kandis jika di rasa sudah cukup matikan api--Gule kambing siap di hidangkan, tambah bawang goreng + kecap manis (kalo suka) +tomat + emping 😘 atau sesuai selera--",8,/id/resep/4410626-gule-kambing-pedas-keto,gr iga kambing gr daging kambing lemak bumbu halus jahe siung bawang putih siung bawang merah sdm garan kunyit bakar butir cengkeh sangrai buah pekak kembang secang star anis sangrai butir kapulaga sachet stevia suka st lada bubuk kemiri sangrai goreng cabai merah keriting cabai rawit setan suka bahan tambah lembar daun jeruk lembar daun kunyit ikat batang serai daun salam sdm air asam kandis liter santan cair sachet kara ml liter santan kental sachet kara ml liter air minyak goreng
11,Sate Kambing Maranggi,"1 kg daging kambing potong agak besar karena daging mudah empuk--Secukupnya tusukan sate--Secukupnya kecap manis--1/4 nanas uk kecil atau 1/8 nanas uk sedang--Bumbu dihaluskan :--8 bawang putih--5 bawang merah--1 sdm ketumbar--1 sdm gula merah--1/4 sdt garam--Bahan sambal kecap :--10 bawang merah, potong2 kecil--20 cabe rawit, potong kecil--2 tomat merah besar, potong kotak kecil--1 bh jeruk sambal--Secukupnya kecap manis--","Parut nanas, kemudian peras dan saring airnya. Letakkan di piring ceper. Sisihkan.--Lumuri daging yg sudah dipotong agak besar (sekitar 2x2) dengan bumbu halus dan 2 sdm kecap, diamkan sebentar (sekitar 2 jam) dlm refrigator agar bumbu meresap.--Rangkai daging dgn menusuk daging dgn tusukannya--Letakkan telapak tangan pada air nanas, tipis2, kemudian tempelkan telapak tangan pd sate, lakukan merata pd semua sate, bolak balik. Cukup lakukan sekali agar daging tdk hilang cita rasanya.--Panaskan arang utk bakaran sate--Bakar sate setengah matang, kemudian balur dgn kecap manis yg dicampur mentega dan bakar lagi hingga matang.--Cara Membuat Sambal Kecap : Campur semua bahan, tambahkan perasan jeruk sambal.--Sajikan sate kambing dgn siraman sambal kecap.--Catatan, karena daging mudah empuk, hati2 saat membakarnya agar daging tdk lepas dr tusukannya saat membakar.--",8,/id/resep/3281589-sate-kambing-maranggi,daging kambing potong daging mudah empuk tusuk sate kecap manis nanas uk nanas uk bumbu halus bawang putih bawang merah sdm ketumbar sdm gula merah sdt garam bahan sambal kecap bawang merah potong cabai rawit potong tomat merah potong kotak bh jeruk sambal kecap manis
12,Soto babat kambing madura,"Jeroan kambing babat,usus campur--Bumbu halus ;--Bawang putih--Bawang merah--Merica--Bumbu yg di iris ;--Jahe--Lengkuas--Kunyit--Daun jeruk--Daun salam dan sereh sy gak pake karna lg kehabisan stok--Bahan pelengkap ;--Soun--Toge--Bawang daun dan seledri--Bawang putih dan merah goreng--Garam dan royco sapi--Sambel uleg--Jeruk nipis--","Bersihkan babat dan usus lalu rebus sampai empuk, lalu iris bumbu kemudian jahit pada benang, kemudian kupas bawang--Lalu tumis bumbu iris dan bumbu halus--Rebus air pada panci--Setelah bumbu sudah wangi lalu masukkan babat yg sudah diiris, ini trik saya agar babatnya gak bau--Kemudian masukkan bumbu dan babat pada panci yg airnya sudah mendidih lalu kasih garam dan royco sapi--Tes rasa, kemudian masukkan bawang daun seledri dan bawang goreng--Tata nasi lalu soun kemudian toge lalu kuah dan babatnya, siap dihidangkan, oya jangan lupa kasih jeruk nipis dan sambel ulek biar tambah nampoll--",6,/id/resep/4383415-soto-babat-kambing-madura,jeroan kambing babat usus campur bumbu halus bawang putih bawang merah merica bumbu iris jahe lengkuas kunyit daun jeruk daun salam sereh pakai habis stok bahan lengkap soun toge bawang daun seledri bawang putih merah goreng garam royco sapi sambal uleg jeruk nipis
0,Beef Teriyaki,"250 gr daging sapi--1 siung bawang bombai--5 siung bawang putih--1 sachet saus teriyaki (sy pk yg saor*, bsa diganti saus tiram)--1 sdm kecap manis--secukupnya garam--secukupnya lada--secukupnya gula--secukupnya penyedap rasa--","Potong kecil-kecil memanjang daging sapi, lalu cuci bersih--Tambahkan garam dan lada diamkan selama kurleb 15 menit--Iris bawang bombai dan bawang putih--Tumis bawang bombai dan bawang putih, setelah harum masukkan daging--Tumis daging sebentar lalu tambahkan saus teriyaki, kecap manis, garam, lada, gula dan penyedap rasa, beri air sedikit--Tutup wajannya agar panasnya merata--Tunggu sampai daging matang, lalu garnish sesuai selera--Beef teriyaki siap untuk disantap--",0,/id/resep/4473529-beef-teriyaki,gr daging sapi siung bawang bombai siung bawang putih sachet saus teriyaki pakai saor ganti saus tiram sdm kecap manis garam lada gula sedap
1,Rendang Sapi,1 kg daging sapi--4 butir kelapa untuk 2L santan kental--Bumbu dihaluskan :--200 gram Cabe merah--1/2 cm Jahe--2 sdm ketumbar sangrai--10 butir kapulaga--10 butir cengkeh--2 butir bunga lawang--1 buah biji pala--13 butir bawang merah--7 butir bawang putih--25 buah cabe rawit (jika suka pedas)--3 cm lengkuas dipipihkan--2 buah serai dipipihkan--3 lembar daun jeruk--3 lembar daun salam--2 lembar daun kunyit--1/2 sdm garam (tambahkan jika kurang asin)--1 sdt kaldu bubuk (optional)--,"Potong daging berlawanan dari seratnya--Peras santan dari 4 butir kelapa tua menjadi 2 liter--Haluskan bumbu--Tuang santan dan bumbu ke dalam wajan anti lengket, masak hingga mendidih--Kemudian masukkan daging, garam dan kaldu. Masak dengan api kecil sambil sesekali di aduk agar tidak gosong--Sampai tahap ini dinamakan kalio, teruskan memasak hingga daging mulai mengering dan kehitaman--Rendang siap dinikmati--",1,/id/resep/4473035-rendang-sapi,daging sapi butir kelapa l santan kental bumbu halus gram cabai merah jahe sdm ketumbar sangrai butir kapulaga butir cengkeh butir bunga lawang buah biji pala butir bawang merah butir bawang putih buah cabai rawit suka pedas lengkuas pipih buah serai pipih lembar daun jeruk lembar daun salam lembar daun kunyit sdm garam tambah asin sdt kaldu bubuk pilih
2,Tongseng daging sapi pedas,"300 gr daging sapi (iris tipis panjang)--Bumbu halus :--7 siung bawang merah--4 siung bawang putih--2 cm jahe--1,5 cm kunyit--3 bh kemiri--5 cabe merah keriting--Bumbu pelengkap :--2 batang sereh--2 daun salam--2 daun jeruk--5 bh cabe rawit merah utuh--Toping--1 bh tomat besar (iris sedang)--Kol secukupnya menurut selera (iris sedang)--","Tumis bumbu halus dengan sedikit minyak, tumis sampai matang dan mengental. Lalu masukkan daging sapi yang telah dipotong2 tadi. Lalu masukkan bumbu pelengkap. Tumis daging dengan bumbu sampai daging sapi berubah warna dan agak mengeluarkan minyak.--Masukkan air secukupnya sekitar 1,5 liter biarkan mendidih sebentar lalu kecilkan api dan tutup panci. Tunggu sampai daging empuk..--Setelah daging empuk masukkan kol dan tomat, masak sebentar saja agar tekstur kol agak crunchy.. angkat lalu sajikan--",3,/id/resep/4472871-tongseng-daging-sapi-pedas,gr daging sapi iris tipis bumbu halus siung bawang merah siung bawang putih jahe kunyit bh kemiri cabai merah keriting bumbu lengkap batang sereh daun salam daun jeruk bh cabai rawit merah utuh toping bh tomat iris kol iris
3,Semur Daging Sapi,"1/2 kg daging sapi--1 biji bawang bombay--2 siung bawang putih 5--5 siung bawang merah--1 bungkus ladaku--1 bungkus royco sapi--3 lembar daun jeruk--1 bunga lawang--2 biji jeruk nipis--Secukupnya kecap manis, gula pasir--Air--","Potong2 daging sesuai selera, cuci dan lumuri dengan air jeruk, aduk2 dan cuci lagi--Rebus daging sampe setengah mateng--Sambil nungu daging direbus, bawang putih digeprek dan diiris2, bawang merah jg bawang bombay--Tumis bawang yg sudah diiris masukkan daging, daun jeruk, ladaku, bunga lawang dan pala, aduk2--Tambahkan air sampe daging terendam, masukkan royco, kecap dan gula pasir (kalo sy ditambahin lg garam sedikit)--Aduk2 dan koreksi rasa, biarka sampe airnya berkurang dikit (tapi jangan sampe habis airnya)--Hidangkan dengan kerupuk udang, hhmmmm ennaakkk--",0,/id/resep/4472987-semur-daging-sapi,daging sapi biji bawang bombay siung bawang putih siung bawang merah bungkus lada bungkus royco sapi lembar daun jeruk bunga lawang biji jeruk nipis kecap manis gula pasir air
4,Tongseng daging sapi,500 gram Daging sapi--Santan (boleh pakai kara 1 bungkus/ kelapa parut 1/2 buah)--Bawang merah 12 siung (6 siung untuk bawang goreng)--8-10 siung Bawang putih--1/4 Kubis--2 buah Tomat--5 pcs Daun bawang--6 cm Kunyit--5 cm Jahe--6 cm Lengkuas--3 lembar Daun salam--3 lembar Daun jeruk--5 pcs Kemiri--1 sdt Ketumbar--1 sdm Kecap--2 pcs Cabai merah--10 pcs Cabai rawit--secukupnya Garam--secukupnya Penyedap rasa--1 bungkus Merica bubuk ladaku--,"Cuci daging sapi dan potong kecil-kecil sesuai selera.--Masukkan daging sapi dalam air mendidih dan masak hingga empuk.--Lembutkan baput,bamer,kunyit,kemiri,ketumbar,dan cabai merah.--Tumis bumbu yang sudah dilembutkan tadi dan daun salam, daun jeruk, lengkuas,jahe, cabai rawit utuh,ladaku. Tumis hingga baunya harum.--Potong memanjang tomatnya, kubis dan daun bawang potong sesuai selera.--Masukkan bumbu tersebut yang sudah ditumis tadi kedalam rebusan daging yang sudah empuk. Lalu masukkan kubis,daun bawang dan tomat serta santan.--Masukkan juga garam,kecap dan penyedap rasa.--Cek rasa. Kalau sudah mendidih dan rasa sudah pas, TONGSENG DAGING SAPI SIAP DISAJIKAN. Taburi bawang goreng saat penyajiannya--",2,/id/resep/4472530-tongseng-daging-sapi,gram daging sapi santan pakai kara bungkus kelapa parut buah bawang merah siung siung bawang goreng siung bawang putih kubis buah tomat pcs daun bawang kunyit jahe lengkuas lembar daun salam lembar daun jeruk pcs kemiri sdt ketumbar sdm kecap pcs cabai merah pcs cabai rawit garam sedap bungkus merica bubuk lada
